Tue Nov  9 00:40:08 CET 2010
Working proxy list (anon. are shown with 10 min. delay)

Proxy:Port					Latency	Type	  Country
===========================================
200.24.206.107:8080	0.0000	Transp.	MK
111.1.32.46:80			0.0000	Elite		CN
98.154.71.193:8085	0.0000	Anon.		US
88.249.212.30:8088	0.0000	Anon.		TR
72.52.96.16:80			0.0000	Transp.	US
118.98.200.165:80		0.0000	Transp.	ID
72.52.96.11:80			0.0000	Transp.	US
72.52.96.18:80			0.0000	Transp.	US
87.250.185.56:80		0.0000	Anon.		PL
207.226.163.141:80	0.1090	Transp.	US
212.45.5.172:3128		0.2560	Elite		RU
67.208.112.173:80		0.2660	Transp.	US
200.165.90.210:8080	0.2770	Transp.	BR
189.30.30.226:80		0.3040	Transp.	BR
80.79.23.179:8080		0.3160	Transp.	CZ
190.152.146.74:80		0.3590	Transp.	MK
82.119.76.144:80		0.3650	Transp.	BG
94.23.228.145:3128	0.3920	Transp.	FR
91.208.8.32:80			0.4060	Elite		NO
